Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19,Frame-20,Frame-21,Frame-22,Frame-23,Frame-24,Frame-25,Frame-26,Frame-27,Frame-28,Frame-29,Frame-30,Frame-31,Frame-32,Frame-33,Frame-34,Frame-35,Frame-36,Frame-37,Frame-38,Frame-39,Frame-40,Frame-41,Frame-42,Frame-43,Frame-44,Frame-45,Frame-46,Frame-47,Frame-48,Frame-49,Frame-50,Frame-51,Frame-52,Frame-53,Frame-54,Frame-55,Frame-56,Frame-57,Frame-58,Frame-59,Frame-60,Frame-61,Frame-62,Frame-63,Frame-64,Frame-65,Frame-66,Frame-67,Frame-68,Frame-69,Frame-70,Frame-71,Frame-72,Frame-73,Frame-74,Frame-75,Frame-76,Frame-77
Accent Paving,TN,FP,FP,FP,TN,FN,TN,FN,FN,FN,FN,TP,FP,0,0,0,FN,TP,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Barrier Post,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,TN,FP,FP,FP,FP,FP,FP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Barrier Stump,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bench,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,TN,TN,TN,FP,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0
Bicycle,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridge,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Building,TN,FP,FP,FP,TN,TN,FN,FN,FN,FN,FN,TP,TP,FN,TP,TP,TP,TP,TP,TP,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bus,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bus Stop,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,FP,TN,TN,TN,TN,FP,FP,TN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Car,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
