Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19,Frame-20
Accent Paving,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Barrier Post,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1
Barrier Stump,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
Bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
Bridge,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1
Building,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Bus,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
Bus Stop,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
Car,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
Chair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closed Sidewalk,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Cloudy,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1
Counter,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1
Crosswalk,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
Curb,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1
Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Driveway(flat),1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Elevator,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1
Escalator,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
Fence,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
Fire hydrant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flush Door,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1
Foldout Sign,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fountain,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
Gate,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Guide dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gutter,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1
